Scenario,Policy,Metric,mean_abs_delta,mean_abs_norm_delta,start_delta,end_delta
Whipsaw,MtM-band,dK_1y,75.13696086399646,1.00679322784811,74.62998238932434,23.048520645557318
Whipsaw,MtM-band,dK_3y,124.59096453827416,0.9314628758635772,133.75837917615615,23.048520645557318
Whipsaw,MtM-band,MtM,321.2081633835469,0.49863045606655587,644.18079456557,23.06155011395152
Whipsaw,MtM-band,V,172.883160841327,0.6863961327852841,251.87082587396654,23.048520645557318
Whipsaw,0.5y-greedy,dK_0.5y,47.08741922729796,0.9829236090703934,47.90547179127196,25.000000000000004
Whipsaw,0.5y-greedy,dK_1y,84.52880367376797,0.9548763841431905,88.5232948237741,25.000000000000004
Whipsaw,0.5y-greedy,dK_3y,183.83152285002208,0.8272407588563286,222.2225160957625,25.000000000000004
Whipsaw,0.5y-greedy,MtM,342.7481345166625,0.5320682289943282,644.18079456557,25.014132651499168
Whipsaw,0.5y-greedy,V,186.91977959679093,0.7421255675332672,251.87082587396654,25.000000000000004
Whipsaw,Optimal V,dK_0.5y,47.37695157722122,0.7945299396998527,59.62890661504572,22.5
Whipsaw,Optimal V,dK_1y,82.03671423030407,0.8065422960324009,101.71408819334584,22.5
Whipsaw,Optimal V,dK_3y,154.2742739969036,0.741129316699418,208.16107327120125,22.5
Whipsaw,Optimal V,MtM,317.2079955147068,0.49242075856767603,644.18079456557,22.51271938634925
Whipsaw,Optimal V,V,169.864485576838,0.6744111192212301,251.87082587396654,22.5
